id,closed_on,money_raised_usd
0120666d3c324645903322d95db1d843,,
012caf7e82124e33b09f767b68559572,,
0210c3281c5c4ef99f9d35190625c037,,
05153df5512f43c2b194c1d681dff8ec,,
056705723c9241c9912e7e6b1e5ece12,,
084a7260360e42f19eef3c89e90dee9a,,
08a19826a84a4290ab44c7fb3c55ddfc,,
0a12630ed81e45cd813537cea0d393bf,,
0bb577a10edf4f0aa22682995f1ec7c7,,
114c07dd6adb4cf4af508bc7eb4ffa60,,
13ff8d98230242d48af9739ffa2668a2,,
15ae48d00a914e76a52f6ccf4c28eeb6,,
15e11906ad3b4f6f8446743a4c6f7226,,
1cbc46dfcfc4455f9e7f10603349990e,,
1f36c90986a64b59931a529912ee7228,,
2098ef9b199f47048a89f92b7aaf6c75,,
23c71644f9c5430dbc11b1bc82715874,,
2711544fc99b4a038705e830d1929bd3,,
2969e427e6374eebb4dad626084ef44c,,
2c2542402f224940a6dab4730beda57e,,
2cefcbe486914a2d8fa1fe9bf250c3ef,,
2cfd04c782e14bfa93f03493b406a327,,
2d1037a097924fe6a83fe2b25b85362c,,
2f222f8894b142ff97274559768326e1,,
32be2d38c4644816af4634e0f9229ffc,,
34e65b45c22b43af94f21f626e94efe4,,
360e494855a84b87964e3123c348273d,,
48ce8b2e5a0c4cd28cc2979a11d43dc2,,
4a124920d8a248689199cd7db481c5dc,,
4e17833a57b4433ca5e1c2df26ce02a4,,
51a463a6cc3e4f24a3723c7df5e99b76,,
5adab77224e7425bbb29126a0eda8d20,,
5da4fbc11082492fb4db73e30f3f8eab,,
5db3b3beb44d466cb7b5d296b79abc2f,,
5f7f36a1aa7944e3ab7f51ff491284d5,,
602cb6dc36cc4f3083cf9b65b7be03d8,,
60ae613d05754112890971bae150a820,,
64e4ec865e9b411d9ed006e94a61048c,,
663346ccbe8a43d28853b2377495c8ee,,
670489b9c4de461fa9058de259b84169,,
687c0ba4359c49048dd3982672cd1a51,,
6984ea8028774de5bb94febf2189f272,,
6b5db43b0cdd413c9881acf179c7ad0f,,
6e63dee19f4646fea58d68c38c0e2a3e,,
709e5184ac7144759ef135ee7f4a1f94,,
73100e8dbfa34d38b59603232d76afc2,,
7370bcc19e3a46fd8c0675a06f81b04a,,
74ed2bf965054172aad650df0ac37318,,
7c4038341d1544ba8d8021a34b8a3add,,
7cf943d326ef4f8c91ffadfb4e0161a6,,
7daf62cd3ed34c5cbe5cfa7783c96b73,,
7f8afcc23ec84cbd9c9df2e8f0ef46e2,,
7fc6954fb55f435d94f7bd99213a22db,,
80abf8194ac54fff8f43843b1889280f,,
8163ceba39374a9582a4c769ba28487d,,
81cae097799047c4ab10972c3535bd84,,
8b591811ffe245a3b441d00eddb755ab,,
915dcedfe42a47849e4de3e9556d79d5,,
94c2338c34254a24a0223b57d9064fc0,,
97b78a1773214dc5a2c94d0bba94b9b1,,
9a393e871c0b46eb85e57c4175adf2f8,,
a78ff4c6b0234e15bcda5fa83761b334,,
a9b496a6329e4a69a2b7c603d5b79551,,
aab86845eac544dd8428660c2535d2b5,,
aae049400e6f41ac987e72c03a74aed1,,
ac889a3021b54763964e222e618e4c92,,
ae1099edf0474b47865f87bb710dfe7c,,
afbf256f64a54a1ca20a7f441f2f1fb8,,
b2294fd993614bf489f29d0d5bb98269,2019-07-01,112874
b9aaef82d6074f369ea76d312f69fe2b,,
bb8dc141a3b84a2e818a239d47b87024,,
be32eb24570f4db48a15ccbc225883a5,,
bf14af51380a4cd1b9eb8f8f63e929da,,
bffdcaa1f3b54755a379428cf1fcae74,,
c96f771f92dc4803a552c2d468ce3b45,,
cbb1aac50baa4fcaaf52bc5d72241ca9,,
cce018717d8a4494a0e61670ea5cb950,,
d04413ee837c4337b0c57838b9cf8b99,,
d8b4000e3d16427fbbf2c3e0e1c4343e,,
d97da330685540ed86d1cbb43cb8a584,,
db8df58ad1664a399b2ea1cbeeb6c0aa,,
df09010daba046469dc076219c1f16fc,,
e1476940336041ba9a1468e3c88fae2b,,
e1e2760be776419cb4d92b1077025933,,
e1f28bc9cf6345e8a158d5637875e73a,,
e49cb008bd0345ac96f7804c105e22f6,,
e7a6631518f64a388e8c0c522a0cdac3,,
e8a5ba5982ea41c38a28dc20692d7a43,,
e91de539f6ae41c29f96101fbe341186,,
e99587ecb7624d4b8ceb510f316a94a1,,
ec8bc964e6b94bb4b025f4b31489619f,,
ede0ea7dc85d4c1286d9f1f773c5bfdf,,
eed55e55efa74250a51a043c61e4baf7,,
f1e11008a8ab4456a539c98c761243d1,,
f30393197bbb4bff8c7150fb4f3a4d9f,,
f3200327b4c94f2fa803e70d366fe1b8,,
f69c91bfbe4841749953f58db7e67b69,,
fa838cf8ac6148d8883f42342011e34f,,
fab4616b49674854acdc45d956ef9164,,
ff60575f7c334bd2b2efdfa7effe8ed9,,
ffb52935ced5422ca54db2171afb977b,,
